,0
ACN,0.00482857057263437
ADBE,0.00482857057263437
AKAM,0.03568380628041688
AMD,0.03691049826065632
APH,0.00482857057263437
ADI,0.00482857057263437
ANSS,0.036910498260656434
AAPL,0.00482857057263437
AMAT,0.036910498188380464
ANET,0.00482857057263437
ADSK,0.00482857057263475
AVGO,0.00482857057263437
CDNS,0.03568380628041688
CDW,0.00482857057263437
CSCO,0.00482857057263437
GLW,0.00482857057263437
DXC,0.00482857057263437
ENPH,0.036910498260656434
EPAM,0.00482857057263437
FFIV,0.00482857057263437
FICO,0.00482857057263437
FSLR,0.00482857057263437
FTNT,0.0048292779323093424
IT,0.00482857057263437
GEN,0.03568380628041688
HPE,0.004828574109266244
HPQ,0.004828574109266244
IBM,0.00482857057263437
INTC,0.004829278029920629
INTU,0.004828570572713256
JNPR,0.00482857057263437
KEYS,0.030306171671804633
KLAC,0.004828570572634372
LRCX,0.03691049826056444
MCHP,0.036910498260564445
MU,0.036910498260656434
MSFT,0.004828570572634373
MPWR,0.036910498260656434
MSI,0.00482857057263437
NTAP,0.00482857057263437
NVDA,0.036910498258146185
NXPI,0.036910498260656434
ON,0.036910498260656434
ORCL,0.00482857057263437
PAYC,0.00482929951639216
PTC,0.004828570572634738
QRVO,0.036910498260564875
QCOM,0.036910498260656434
ROP,0.036910498260656434
CRM,0.00482857057263437
STX,0.004989676031543321
NOW,0.00482857057263437
SWKS,0.036910498260656434
SNPS,0.004988664283338867
TEL,0.036910498260656434
TDY,0.00482857057263437
TER,0.03686919564916239
TXN,0.00482857057263437
TRMB,0.00482857057263437
TYL,0.00482857057263437
VRSN,0.00482857057263437
WDC,0.036910498260656434
ZBRA,0.00482857057263437
