,0
APA,0.018570525001093695
BKR,0.030706256946088337
CVX,0.023331552887149727
COP,0.018529317769618848
CTRA,0.15426605654218337
DVN,0.018236021086482573
FANG,0.018233825260094226
EOG,0.018523292399326763
EQT,0.1542544513211955
XOM,0.020061836569874786
HAL,0.018251636648276295
HES,0.01824525661949562
KMI,0.15188542372734257
MRO,0.018343903060456784
MPC,0.018357543920401447
OXY,0.018335146006559472
OKE,0.01848602939252538
PSX,0.019698923794775936
PXD,0.01863247367131369
SLB,0.01837158223277523
TRGP,0.034345520925829306
VLO,0.018325093083490285
WMB,0.15400833113365006
